journal,title,doi,year,repo_urls
Nature,Unexpected clustering pattern in dwarf galaxies challenges formation models,10.1038/s41586-025-08965-5,2025,https://github.com/ChenYangyao/dwarf_assembly_bias; https://github.com/JiangFangzhou/SIDM
Nature,The rise and transformation of Bronze Age pastoralists in the Caucasus,10.1038/s41586-024-08113-5,2024,https://github.com/odelaneau/GLIMPSE
Nature,Universal photonic artificial intelligence acceleration,10.1038/s41586-025-08854-x,2025,https://github.com/karpathy/nanoGPT
Nature,Emerging evidence of abrupt changes in the Antarctic environment,10.1038/s41586-025-09349-5,2025,https://github.com/g2e/m_map
Nature,Capturing dynamic phage–pathogen coevolution by clinical surveillance,10.1038/s41586-026-10136-z,2026,https://github.com/tseemann/snippy
Nature,Aberrant activation of TCL1A promotes stem cell expansion in clonal haematopoiesis,10.1038/s41586-023-05806-1,2023,https://github.com/kitzmanlab/mimips
Nature,Computer-vision research powers surveillance technology,10.1038/s41586-025-08972-6,2025,https://github.com/wagnew3/Computer-Vision-Research-Powers-Surveillance-Technology
Nature,An integrated transcriptomic cell atlas of human neural organoids,10.1038/s41586-024-08172-8,2024,https://github.com/YosefLab/scib-metrics
Nature,A vaccine central in A(H5) influenza antigenic space confers broad immunity,10.1038/s41586-025-09626-3,2025,https://github.com/shwilks/r3js
Nature,Conservation and alteration of mammalian striatal interneurons,10.1038/s41586-025-09592-w,2025,https://github.com/YosefLab/Hotspot; https://github.com/agshumate/Liftoff; https://github.com/mdeber/Corrigan2024
Nature,Functional connectomics reveals general wiring rule in mouse visual cortex,10.1038/s41586-025-08840-3,2025,https://github.com/cajal/microns-funconn-2025; https://github.com/cajal/pipeline; https://github.com/seung-lab/neuroglancer
Nature,Scaling and networking a modular photonic quantum computer,10.1038/s41586-024-08406-9,2025,https://github.com/XanaduAI/MrMustard
Nature,Increased mutation and gene conversion within human segmental duplications,10.1038/s41586-023-05895-y,2023,https://github.com/pysam-developers/pysam
Nature,Connectomics of predicted Sst transcriptomic types in mouse visual cortex,10.1038/s41586-025-08805-6,2025,https://github.com/CAVEconnectome/MeshParty; https://github.com/CAVEconnectome/pcg_skel; https://github.com/pandas-dev/pandas
Nature,Solving olympiad geometry without human demonstrations,10.1038/s41586-023-06747-5,2024,https://github.com/google-research/meliad
Nature,Flexible solar cells based on foldable silicon wafers with blunted edges,10.1038/s41586-023-05921-z,2023,https://github.com/zae-bayern/elpv-dataset
Nature,Spectroscopic identification of water emission from a main-belt comet,10.1038/s41586-023-06152-y,2023,https://github.com/Small-Bodies-Node/ice-sublimation
Nature,Spatiotemporally resolved colorectal oncogenesis in mini-colons ex vivo,10.1038/s41586-024-07330-2,2024,https://github.com/LorenzoLF/Mini-colon_bioengineering
Nature,Neural landscape diffusion resolves conflicts between needs across time,10.1038/s41586-023-06715-z,2023,https://github.com/google/jax
Nature,A genomic history of the North Pontic Region from the Neolithic to the Bronze Age,10.1038/s41586-024-08372-2,2025,https://github.com/ropensci/rnaturalearthdata
Nature,Emergence of collective oscillations in massive human crowds,10.1038/s41586-024-08514-6,2025,https://github.com/ThomasWangWeiHong/Shadow-Detection-Algorithm-for-Aerial-and-Satellite-Images; https://github.com/ultralytics/ultralytics
Nature,A brain-wide map of neural activity during complex behaviour,10.1038/s41586-025-09235-0,2025,https://github.com/SainsburyWellcomeCentre/BakingTray; https://github.com/SainsburyWellcomeCentre/StitchIt; https://github.com/SainsburyWellcomeCentre/lasagna; https://github.com/cortex-lab/alyx; https://github.com/int-brain-lab/ibl-sorter; https://github.com/int-brain-lab/iblapps; https://github.com/int-brain-lab/iblvideo; https://github.com/stevenjwest/brainregister
Nature,Chemical capture of diazo metabolites reveals biosynthetic hydrazone oxidation,10.1038/s41586-025-10079-x,2026,https://github.com/g-e-kenney/prettyClusters
Nature,Fanzor is a eukaryotic programmable RNA-guided endonuclease,10.1038/s41586-023-06356-2,2023,https://github.com/MakotoSaito37/PAM-screen
