source,filename,size,url,dest
zenodo_12205367,Isotherms_CH4_corrected_smoothed.csv,2488717,https://zenodo.org/api/records/12205367/files/Isotherms_CH4_corrected_smoothed.csv/content,data/external_datasets/PrISMa_zenodo_12205367/Isotherms_CH4_corrected_smoothed.csv
zenodo_12205367,Isotherms_CH4_original.csv,2416850,https://zenodo.org/api/records/12205367/files/Isotherms_CH4_original.csv/content,data/external_datasets/PrISMa_zenodo_12205367/Isotherms_CH4_original.csv
zenodo_12205367,Henry_CH4.csv,63466,https://zenodo.org/api/records/12205367/files/Henry_CH4.csv/content,data/external_datasets/PrISMa_zenodo_12205367/Henry_CH4.csv
zenodo_12205367,Isotherms_CH4_corrected.csv,2488614,https://zenodo.org/api/records/12205367/files/Isotherms_CH4_corrected.csv/content,data/external_datasets/PrISMa_zenodo_12205367/Isotherms_CH4_corrected.csv
zenodo_12205367,Cifs.zip,3430896,https://zenodo.org/api/records/12205367/files/Cifs.zip/content,data/external_datasets/PrISMa_zenodo_12205367/Cifs.zip
mendeley_tc43t3s7c5,CellValuesArray.mat,26531,https://data.mendeley.com/public-files/datasets/tc43t3s7c5/files/af26adb5-87f3-41f6-baec-a6bef8afa0c7/file_downloaded,data/external_datasets/mendeley_tc43t3s7c5/CellValuesArray.mat
mendeley_tc43t3s7c5,Cost_VR_FoldedNormal_All.m,1275,https://data.mendeley.com/public-files/datasets/tc43t3s7c5/files/a5535ae8-97db-4517-a052-23323ce04303/file_downloaded,data/external_datasets/mendeley_tc43t3s7c5/Cost_VR_FoldedNormal_All.m
mendeley_tc43t3s7c5,Cost_VR_SingleValue_Norm_All_gain.m,893,https://data.mendeley.com/public-files/datasets/tc43t3s7c5/files/03b5f88d-6f2f-42bf-aad9-232a8d2c3514/file_downloaded,data/external_datasets/mendeley_tc43t3s7c5/Cost_VR_SingleValue_Norm_All_gain.m
mendeley_tc43t3s7c5,DA_SU_ODOR_NEW_W_OL.h5,120615568,https://data.mendeley.com/public-files/datasets/tc43t3s7c5/files/b05c4757-af6a-4974-adc3-c58ad121dd81/file_downloaded,data/external_datasets/mendeley_tc43t3s7c5/DA_SU_ODOR_NEW_W_OL.h5
mendeley_tc43t3s7c5,DA_SU_VR_OL.h5,115412165,https://data.mendeley.com/public-files/datasets/tc43t3s7c5/files/f57a9626-3980-4b38-9edf-92da639f945d/file_downloaded,data/external_datasets/mendeley_tc43t3s7c5/DA_SU_VR_OL.h5
mendeley_tc43t3s7c5,DataCell.mat,9018661,https://data.mendeley.com/public-files/datasets/tc43t3s7c5/files/0a54ef47-2bbe-4471-99f3-2f3e7019455c/file_downloaded,data/external_datasets/mendeley_tc43t3s7c5/DataCell.mat
mendeley_tc43t3s7c5,Discount_Behavior_Revision.m,11925,https://data.mendeley.com/public-files/datasets/tc43t3s7c5/files/4b6aadd6-da97-4df0-a94c-edf40ea04156/file_downloaded,data/external_datasets/mendeley_tc43t3s7c5/Discount_Behavior_Revision.m
