journal,title,doi,url,year,published_date,source_file
Cell Stem Cell,Lipid nanoparticle-based non-viral in situ gene editing of congenital ichthyosis-causing mutations in human skin models,10.1016/j.stem.2026.01.001,https://doi.org/10.1016/j.stem.2026.01.001,2026,2026-02,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Generation of human pineal gland organoids with melatonin production for disease modeling,10.1016/j.stem.2025.12.004,https://doi.org/10.1016/j.stem.2025.12.004,2026,2026-01,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Tissues assemble! Rebuilding the human periportal liver in a dish,10.1016/j.stem.2026.02.005,https://doi.org/10.1016/j.stem.2026.02.005,2026,2026-03,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Niche-preserving transplantation promotes functional engraftment of intestinal organoids in rat short bowel syndrome,10.1016/j.stem.2025.12.007,https://doi.org/10.1016/j.stem.2025.12.007,2026,2026-01,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,A 3D “nichoid” boost for gene-engineered blood stem cells,10.1016/j.stem.2026.01.004,https://doi.org/10.1016/j.stem.2026.01.004,2026,2026-02,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Two decades of induced pluripotent stem cell research: From discovery to diverse applications,10.1016/j.stem.2026.02.003,https://doi.org/10.1016/j.stem.2026.02.003,2026,2026-03,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Nurturing eggs with hiPSC-derived cells to improve outcomes in in vitro fertilization,10.1016/j.stem.2026.01.005,https://doi.org/10.1016/j.stem.2026.01.005,2026,2026-02,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Nanoengineered 3D culture substrate enables superior persistence and polyclonal engraftment of genetically engineered hematopoietic stem cells,10.1016/j.stem.2025.12.016,https://doi.org/10.1016/j.stem.2025.12.016,2026,2026-02,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,"Two isoforms, two outcomes: How NTRK2 shapes vascular regeneration",10.1016/j.stem.2025.12.003,https://doi.org/10.1016/j.stem.2025.12.003,2026,2026-01,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Prevention of transgene silencing during human pluripotent stem cell differentiation,10.1016/j.stem.2026.01.007,https://doi.org/10.1016/j.stem.2026.01.007,2026,2026-03,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,"Adult neurogenesis: New neurons, new opportunities",10.1016/j.stem.2026.01.014,https://doi.org/10.1016/j.stem.2026.01.014,2026,2026-03,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Human pluripotent stem cell-derived innate and adaptive immune cells for cancer immunotherapy,10.1016/j.stem.2025.12.017,https://doi.org/10.1016/j.stem.2025.12.017,2026,2026-02,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Tunable differentiation of human CD4+ and CD8+ T cells from pluripotent stem cells,10.1016/j.stem.2025.12.010,https://doi.org/10.1016/j.stem.2025.12.010,2026,2026-01,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Minimizing far-extending chromatin perturbation in genome editing preserves stem cell identity,10.1016/j.stem.2026.01.015,https://doi.org/10.1016/j.stem.2026.01.015,2026,2026-03,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Human PSC-derived organoids model sympathetic ganglion development and its functional crosstalk with the heart,10.1016/j.stem.2025.11.003,https://doi.org/10.1016/j.stem.2025.11.003,2026,2026-01,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Randomized phase 2b dose-escalation trial of stem cell therapy with laromestrocel for aging frailty,10.1016/j.stem.2026.01.017,https://doi.org/10.1016/j.stem.2026.01.017,2026,2026-03,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
Cell Stem Cell,Modeling human prenatal adrenocortical functional zonation dynamics from pluripotent stem cells,10.1016/j.stem.2026.02.002,https://doi.org/10.1016/j.stem.2026.02.002,2026,2026-03,data/metadata/incremental/2025-12-19_to_2026-03-19/crossref_cell.jsonl
