journal_title,journal_path,journal_url,series
Communications AI & Computing,/commsaicomp/,https://www.nature.com/commsaicomp/,communications
Communications Biology,/commsbio/,https://www.nature.com/commsbio/,communications
Communications Chemistry,/commschem/,https://www.nature.com/commschem/,communications
Communications Earth & Environment,/commsenv/,https://www.nature.com/commsenv/,communications
Communications Engineering,/commseng/,https://www.nature.com/commseng/,communications
Communications Health,/commshealth/,https://www.nature.com/commshealth/,communications
Communications Materials,/commsmat/,https://www.nature.com/commsmat/,communications
Communications Medicine,/commsmed/,https://www.nature.com/commsmed/,communications
Communications Physics,/commsphys/,https://www.nature.com/commsphys/,communications
Communications Psychology,/commspsychol/,https://www.nature.com/commspsychol/,communications
Communications Sustainability,/commssustain/,https://www.nature.com/commssustain/,communications
Nature,https://www.nature.com/nature/,https://www.nature.comhttps://www.nature.com/nature/,nature_main
Nature,/nature/,https://www.nature.com/nature/,nature_main
Nature Africa,/natafrica/,https://www.nature.com/natafrica/,nature_research
Nature Aging,/nataging/,https://www.nature.com/nataging/,nature_research
Nature Astronomy,/natastron/,https://www.nature.com/natastron/,nature_research
Nature Biomedical Engineering,/natbiomedeng/,https://www.nature.com/natbiomedeng/,nature_research
Nature Biotechnology,/nbt/,https://www.nature.com/nbt/,nature_research
Nature Cancer,/natcancer/,https://www.nature.com/natcancer/,nature_research
Nature Cardiovascular Research,/natcardiovascres/,https://www.nature.com/natcardiovascres/,nature_research
Nature Catalysis,/natcatal/,https://www.nature.com/natcatal/,nature_research
Nature Cell Biology,/ncb/,https://www.nature.com/ncb/,nature_research
Nature Chemical Biology,/nchembio/,https://www.nature.com/nchembio/,nature_research
Nature Chemical Engineering,/natchemeng/,https://www.nature.com/natchemeng/,nature_research
Nature Chemistry,/nchem/,https://www.nature.com/nchem/,nature_research
Nature Chemistry,https://www.nature.com/nchem/,https://www.nature.comhttps://www.nature.com/nchem/,nature_research
Nature Cities,/natcities/,https://www.nature.com/natcities/,nature_research
Nature Climate Change,/nclimate/,https://www.nature.com/nclimate/,nature_research
Nature Communications,/ncomms/,https://www.nature.com/ncomms/,nature_research
Nature Communications,https://www.nature.com/ncomms/,https://www.nature.comhttps://www.nature.com/ncomms/,nature_research
Nature Computational Science,/natcomputsci/,https://www.nature.com/natcomputsci/,nature_research
Nature Digest,/ndigest/,https://www.nature.com/ndigest/,nature_research
Nature Ecology & Evolution,/natecolevol/,https://www.nature.com/natecolevol/,nature_research
Nature Electronics,/natelectron/,https://www.nature.com/natelectron/,nature_research
Nature Energy,/nenergy/,https://www.nature.com/nenergy/,nature_research
Nature Food,/natfood/,https://www.nature.com/natfood/,nature_research
Nature Genetics,/ng/,https://www.nature.com/ng/,nature_research
Nature Geoscience,/ngeo/,https://www.nature.com/ngeo/,nature_research
Nature Health,/naturehealth/,https://www.nature.com/naturehealth/,nature_research
Nature Human Behaviour,/nathumbehav/,https://www.nature.com/nathumbehav/,nature_research
Nature Immunology,/ni/,https://www.nature.com/ni/,nature_research
Nature India,/natindia/,https://www.nature.com/natindia/,nature_research
Nature Italy,/natitaly/,https://www.nature.com/natitaly/,nature_research
Nature Machine Intelligence,/natmachintell/,https://www.nature.com/natmachintell/,nature_research
Nature Materials,/nmat/,https://www.nature.com/nmat/,nature_research
Nature Materials,https://www.nature.com/nmat/,https://www.nature.comhttps://www.nature.com/nmat/,nature_research
Nature Medicine,/nm/,https://www.nature.com/nm/,nature_research
Nature Mental Health,/natmentalhealth/,https://www.nature.com/natmentalhealth/,nature_research
Nature Metabolism,/natmetab/,https://www.nature.com/natmetab/,nature_research
Nature Methods,/nmeth/,https://www.nature.com/nmeth/,nature_research
Nature Microbiology,/nmicrobiol/,https://www.nature.com/nmicrobiol/,nature_research
Nature Nanotechnology,/nnano/,https://www.nature.com/nnano/,nature_research
Nature Neuroscience,/neuro/,https://www.nature.com/neuro/,nature_research
Nature Photonics,/nphoton/,https://www.nature.com/nphoton/,nature_research
Nature Physics,/nphys/,https://www.nature.com/nphys/,nature_research
Nature Plants,/nplants/,https://www.nature.com/nplants/,nature_research
Nature Protocols,/nprot/,https://www.nature.com/nprot/,nature_protocols
Nature Reviews Biodiversity,/nrbd/,https://www.nature.com/nrbd/,nature_reviews
Nature Reviews Bioengineering,/natrevbioeng/,https://www.nature.com/natrevbioeng/,nature_reviews
Nature Reviews Cancer,/nrc/,https://www.nature.com/nrc/,nature_reviews
Nature Reviews Cardiology,/nrcardio/,https://www.nature.com/nrcardio/,nature_reviews
Nature Reviews Chemistry,/natrevchem/,https://www.nature.com/natrevchem/,nature_reviews
Nature Reviews Clean Technology,/nrct/,https://www.nature.com/nrct/,nature_reviews
Nature Reviews Clinical Oncology,/nrclinonc/,https://www.nature.com/nrclinonc/,nature_reviews
Nature Reviews Disease Primers,/nrdp/,https://www.nature.com/nrdp/,nature_reviews
Nature Reviews Drug Discovery,/nrd/,https://www.nature.com/nrd/,nature_reviews
Nature Reviews Earth & Environment,/natrevearthenviron/,https://www.nature.com/natrevearthenviron/,nature_reviews
Nature Reviews Electrical Engineering,/natrevelectreng/,https://www.nature.com/natrevelectreng/,nature_reviews
Nature Reviews Endocrinology,/nrendo/,https://www.nature.com/nrendo/,nature_reviews
Nature Reviews Gastroenterology & Hepatology,/nrgastro/,https://www.nature.com/nrgastro/,nature_reviews
Nature Reviews Genetics,/nrg/,https://www.nature.com/nrg/,nature_reviews
Nature Reviews Immunology,/nri/,https://www.nature.com/nri/,nature_reviews
Nature Reviews Materials,/natrevmats/,https://www.nature.com/natrevmats/,nature_reviews
Nature Reviews Methods Primers,/nrmp/,https://www.nature.com/nrmp/,nature_reviews
Nature Reviews Microbiology,/nrmicro/,https://www.nature.com/nrmicro/,nature_reviews
Nature Reviews Molecular Cell Biology,/nrm/,https://www.nature.com/nrm/,nature_reviews
Nature Reviews Nephrology,/nrneph/,https://www.nature.com/nrneph/,nature_reviews
Nature Reviews Neurology,/nrneurol/,https://www.nature.com/nrneurol/,nature_reviews
Nature Reviews Neuroscience,/nrn/,https://www.nature.com/nrn/,nature_reviews
Nature Reviews Physics,/natrevphys/,https://www.nature.com/natrevphys/,nature_reviews
Nature Reviews Psychology,/nrpsychol/,https://www.nature.com/nrpsychol/,nature_reviews
Nature Reviews Rheumatology,/nrrheum/,https://www.nature.com/nrrheum/,nature_reviews
Nature Reviews Urology,/nrurol/,https://www.nature.com/nrurol/,nature_reviews
Nature Sensors,/natsensors/,https://www.nature.com/natsensors/,nature_research
Nature Structural & Molecular Biology,/nsmb/,https://www.nature.com/nsmb/,nature_research
Nature Sustainability,/natsustain/,https://www.nature.com/natsustain/,nature_research
Nature Synthesis,/natsynth/,https://www.nature.com/natsynth/,nature_research
Nature Water,/natwater/,https://www.nature.com/natwater/,nature_research
npj 2D Materials and Applications,/npj2dmaterials/,https://www.nature.com/npj2dmaterials/,npj
npj Acoustics,/npjacoustics/,https://www.nature.com/npjacoustics/,npj
npj Advanced Manufacturing,/npjadvmanuf/,https://www.nature.com/npjadvmanuf/,npj
npj Aging,/npjamd/,https://www.nature.com/npjamd/,npj
npj Antimicrobials and Resistance,/npjamar/,https://www.nature.com/npjamar/,npj
npj Artificial Intelligence,/npjai/,https://www.nature.com/npjai/,npj
npj Autoimmunity,/npjautoimmun/,https://www.nature.com/npjautoimmun/,npj
npj Biodiversity,/npjbiodivers/,https://www.nature.com/npjbiodivers/,npj
npj Biofilms and Microbiomes,/npjbiofilms/,https://www.nature.com/npjbiofilms/,npj
