journal_title,journal_path,journal_url,series,impact_factor
Nature Reviews Drug Discovery,/nrd/,https://www.nature.com/nrd/,nature_reviews,101.8
Nature Reviews Earth & Environment,/natrevearthenviron/,https://www.nature.com/natrevearthenviron/,nature_reviews,71.5
Nature Reviews Endocrinology,/nrendo/,https://www.nature.com/nrendo/,nature_reviews,40.0
Nature Reviews Gastroenterology & Hepatology,/nrgastro/,https://www.nature.com/nrgastro/,nature_reviews,51.0
Nature Reviews Genetics,/nrg/,https://www.nature.com/nrg/,nature_reviews,52.0
Nature Reviews Immunology,/nri/,https://www.nature.com/nri/,nature_reviews,60.9
Nature Reviews Materials,/natrevmats/,https://www.nature.com/natrevmats/,nature_reviews,86.2
Nature Reviews Methods Primers,/nrmp/,https://www.nature.com/nrmp/,nature_reviews,56.0
Nature Reviews Microbiology,/nrmicro/,https://www.nature.com/nrmicro/,nature_reviews,103.3
Nature Reviews Molecular Cell Biology,/nrm/,https://www.nature.com/nrm/,nature_reviews,90.2
Nature Reviews Nephrology,/nrneph/,https://www.nature.com/nrneph/,nature_reviews,39.8
Nature Reviews Neurology,/nrneurol/,https://www.nature.com/nrneurol/,nature_reviews,33.1
Nature Reviews Neuroscience,/nrn/,https://www.nature.com/nrn/,nature_reviews,26.7
Nature Reviews Physics,/natrevphys/,https://www.nature.com/natrevphys/,nature_reviews,39.5
Nature Reviews Psychology,/nrpsychol/,https://www.nature.com/nrpsychol/,nature_reviews,21.8
Nature Reviews Rheumatology,/nrrheum/,https://www.nature.com/nrrheum/,nature_reviews,32.7
Nature Reviews Urology,/nrurol/,https://www.nature.com/nrurol/,nature_reviews,14.6
Nature Sustainability,/natsustain/,https://www.nature.com/natsustain/,nature_research,27.1
npj Clean Water,/npjcleanwater/,https://www.nature.com/npjcleanwater/,npj,11.4
npj Computational Materials,/npjcompumats/,https://www.nature.com/npjcompumats/,npj,11.9
npj Digital Medicine,/npjdigitalmed/,https://www.nature.com/npjdigitalmed/,npj,15.1
npj Flexible Electronics,/npjflexelectron/,https://www.nature.com/npjflexelectron/,npj,15.5
