journal_title,journal_path,journal_url
A,#journals-A,https://www.nature.com#journals-A
Acta Pharmacologica Sinica,/aps/,https://www.nature.com/aps/
B,#journals-B,https://www.nature.com#journals-B
BDJ In Practice,/bdjinpractice/,https://www.nature.com/bdjinpractice/
BDJ Open,/bdjopen/,https://www.nature.com/bdjopen/
BDJ Student,/bdjstudent/,https://www.nature.com/bdjstudent/
BDJ Team,/bdjteam/,https://www.nature.com/bdjteam/
Biopharma Dealmakers,/biopharmdeal/,https://www.nature.com/biopharmdeal/
BJC Reports,/bjcreports/,https://www.nature.com/bjcreports/
Blood Cancer Journal,/bcj/,https://www.nature.com/bcj/
Bone Marrow Transplantation,/bmt/,https://www.nature.com/bmt/
Bone Research,/boneres/,https://www.nature.com/boneres/
British Dental Journal,/bdj/,https://www.nature.com/bdj/
British Journal of Cancer,/bjc/,https://www.nature.com/bjc/
C,#journals-C,https://www.nature.com#journals-C
Cancer Gene Therapy,/cgt/,https://www.nature.com/cgt/
Cell Death & Differentiation,/cdd/,https://www.nature.com/cdd/
Cell Death & Disease,/cddis/,https://www.nature.com/cddis/
Cell Death Discovery,/cddiscovery/,https://www.nature.com/cddiscovery/
Cell Discovery,/celldisc/,https://www.nature.com/celldisc/
Cell Research,/cr/,https://www.nature.com/cr/
Cellular & Molecular Immunology,/cmi/,https://www.nature.com/cmi/
Communications AI & Computing,/commsaicomp/,https://www.nature.com/commsaicomp/
Communications Biology,/commsbio/,https://www.nature.com/commsbio/
Communications Chemistry,/commschem/,https://www.nature.com/commschem/
Communications Earth & Environment,/commsenv/,https://www.nature.com/commsenv/
Communications Engineering,/commseng/,https://www.nature.com/commseng/
Communications Health,/commshealth/,https://www.nature.com/commshealth/
Communications Materials,/commsmat/,https://www.nature.com/commsmat/
Communications Medicine,/commsmed/,https://www.nature.com/commsmed/
Communications Physics,/commsphys/,https://www.nature.com/commsphys/
Communications Psychology,/commspsychol/,https://www.nature.com/commspsychol/
Communications Sustainability,/commssustain/,https://www.nature.com/commssustain/
