repo_url,script_path,language,failure_reason,fix_bucket,dependency,missing_path,fix_action,suggested_fix,log_path
https://github.com/AlexEMG/DeepLabCut,deeplabcut/pose_estimation_3d/plotting3D.py,python,nonzero_exit,nonzero_exit,,,Inspect logs for exit code; ensure dependencies and data are available,Inspect logs for exit code; ensure dependencies and data are available,logs/repro_runs/run_00002_20260318_143010.log
https://github.com/AlexEMG/DeepLabCut,deeplabcut/pose_estimation_pytorch/apis/prune_paf_graph.py,python,nonzero_exit,nonzero_exit,,,Inspect logs for exit code; ensure dependencies and data are available,Inspect logs for exit code; ensure dependencies and data are available,logs/repro_runs/run_00003_20260318_143010.log
https://github.com/Brody-Lab/findr,notebooks/plot_example_vector_fields.ipynb,notebook,nonzero_exit,path_error,,,Quote paths or use script_path relative to repo root,Quote paths or use script_path relative to repo root,logs/repro_runs/run_00017_20260318_154038.log
https://github.com/Brody-Lab/fhmddm,src/+FHMDDM/load_and_plot_psychometric.m,matlab,nonzero_exit,nonzero_exit,,,Inspect logs for exit code; ensure dependencies and data are available,Inspect logs for exit code; ensure dependencies and data are available,logs/repro_runs/run_00018_20260318_081714.log
https://github.com/Brody-Lab/fhmddm,src/+FHMDDM/plot_peth.m,matlab,nonzero_exit,nonzero_exit,,,Inspect logs for exit code; ensure dependencies and data are available,Inspect logs for exit code; ensure dependencies and data are available,logs/repro_runs/run_00019_20260318_081714.log
https://github.com/Brody-Lab/fhmddm,src/+FHMDDM/plot_pethset.m,matlab,nonzero_exit,nonzero_exit,,,Inspect logs for exit code; ensure dependencies and data are available,Inspect logs for exit code; ensure dependencies and data are available,logs/repro_runs/run_00020_20260318_081714.log
https://github.com/Brody-Lab/fhmddm,src/+FHMDDM/plot_psychometric.m,matlab,nonzero_exit,nonzero_exit,,,Inspect logs for exit code; ensure dependencies and data are available,Inspect logs for exit code; ensure dependencies and data are available,logs/repro_runs/run_00021_20260318_081714.log
https://github.com/Brody-Lab/fhmddm,src/+FHMDDM/shadeplot.m,matlab,nonzero_exit,nonzero_exit,,,Inspect logs for exit code; ensure dependencies and data are available,Inspect logs for exit code; ensure dependencies and data are available,logs/repro_runs/run_00022_20260318_081714.log
https://github.com/Chenglin20170390/Haplotype-diversity,scripts/Designing Ideal potato haplotypes (IPH)/Calculate_hybrids_from_ideal_inbred_lines.py,python,nonzero_exit,nonzero_exit,,,Inspect logs for exit code; ensure dependencies and data are available,Inspect logs for exit code; ensure dependencies and data are available,logs/repro_runs/run_00023_20260318_081714.log
https://github.com/Chenglin20170390/Haplotype-diversity,scripts/Designing Ideal potato haplotypes (IPH)/Design_less_dSNPs_in_two_IPH_lines.py,python,nonzero_exit,nonzero_exit,,,Inspect logs for exit code; ensure dependencies and data are available,Inspect logs for exit code; ensure dependencies and data are available,logs/repro_runs/run_00024_20260318_081714.log
https://github.com/Chenglin20170390/Haplotype-diversity,scripts/Designing Ideal potato haplotypes (IPH)/Design_less_dSVs_in_A_line_IPH.py,python,nonzero_exit,nonzero_exit,,,Inspect logs for exit code; ensure dependencies and data are available,Inspect logs for exit code; ensure dependencies and data are available,logs/repro_runs/run_00025_20260318_081715.log
https://github.com/Chenglin20170390/Haplotype-diversity,scripts/Designing Ideal potato haplotypes (IPH)/Design_less_dSVs_in_E_line_IPH.py,python,nonzero_exit,nonzero_exit,,,Inspect logs for exit code; ensure dependencies and data are available,Inspect logs for exit code; ensure dependencies and data are available,logs/repro_runs/run_00026_20260318_081715.log
https://github.com/ChenYangyao/dwarf_assembly_bias,docs/figures/plots_observation.py,python,nonzero_exit,nonzero_exit,,,Inspect logs for exit code; ensure dependencies and data are available,Inspect logs for exit code; ensure dependencies and data are available,logs/repro_runs/run_00027_20260318_081715.log
